date,day_of_week,meeting_type,location,present,absent,staff,source_url
"May 8, 2014",Thursday,Regular,,"Wu, Fong, Antonini, Borden, Hillis, Moore, Sugaya",Borden,"John Rahaim – Planning Director, Scott Sanchez –",https://sfplanning.s3.amazonaws.com/default/files/meetingarchive/planning_dept/sf-planning.org/index.aspx-page=3838.html
"May 15, 2014",Thursday,Regular,,"Wu, Fong, Antonini, Borden, Hillis, Moore, Sugaya",Moore,"John Rahaim – Planning Director, Scott Sanchez –",https://sfplanning.s3.amazonaws.com/default/files/meetingarchive/planning_dept/sf-planning.org/index.aspx-page=3846.html
"May 22, 2014",Thursday,Regular,,"Wu, Fong, Antonini, Borden, Hillis, Moore, Sugaya",Wu,"John Rahaim – Planning Director, Scott Sanchez –",https://sfplanning.s3.amazonaws.com/default/files/meetingarchive/planning_dept/sf-planning.org/index.aspx-page=3847.html
"April 3, 2014",Thursday,Regular,,"Wu, Fong, Antonini, Borden, Hillis, Moore, Sugaya",Borden,"John Rahaim – Planning Director, Scott Sanchez – Zoning Administrator,",https://sfplanning.s3.amazonaws.com/default/files/meetingarchive/planning_dept/sf-planning.org/index.aspx-page=3856.html
"June 5, 2014",Thursday,Regular,,"Wu, Fong, Antonini, Borden, Hillis, Moore, Sugaya","Hillis, Fong","John Rahaim – Planning Director, Scott Sanchez –",https://sfplanning.s3.amazonaws.com/default/files/meetingarchive/planning_dept/sf-planning.org/index.aspx-page=3857.html
"June 12, 2014",Thursday,Regular,,"Wu, Fong, Antonini, Borden, Hillis, Moore, Sugaya",,"John Rahaim – Planning Director, Scott Sanchez –",https://sfplanning.s3.amazonaws.com/default/files/meetingarchive/planning_dept/sf-planning.org/index.aspx-page=3858.html
"June 19, 2014",Thursday,Regular,,"Wu, Fong, Antonini, Borden, Hillis, Moore, Sugaya","Fong, Hillis","John Rahaim – Planning Director, Scott Sanchez –",https://sfplanning.s3.amazonaws.com/default/files/meetingarchive/planning_dept/sf-planning.org/index.aspx-page=3870.html
"June 26, 2014",Thursday,Regular,,"Wu, Fong, Antonini, Borden, Hillis, Moore, Sugaya",Sugaya,"John Rahaim – Planning Director, Scott Sanchez –",https://sfplanning.s3.amazonaws.com/default/files/meetingarchive/planning_dept/sf-planning.org/index.aspx-page=3880.html
"July 24, 2014",Thursday,Regular,,"Wu, Fong, Antonini, Hillis, Johnson, Moore, Sugaya","Wu, Moore","John Rahaim – Planning Director, Erika Jackson, Marcelle Boudreaux, Omar Masry, Elizabeth Watty, Aaron Starr, Mary Woods, Diego Sanchez, Tina Chang, Pilar LaValley, Doug Vu, Sharon Lai, and Jonas P. Ionin – Commission Secretary",https://sfplanning.s3.amazonaws.com/default/files/meetingarchive/planning_dept/sf-planning.org/index.aspx-page=3888.html
"July 17, 2014",Thursday,Regular,,"Wu, Fong, Antonini, Hillis, Johnson, Moore, Sugaya",Fong,"Alexandra Kirby, Kanishka Burns, Neil Hrushowy, Rich Sucre, Sara Vellve, Omar Masry, Elizabeth Watty, AnMarie Rodgers, Tina Tam, John Rahaim – Planning Director, and Christine Lamorena – Acting Commission Secretary",https://sfplanning.s3.amazonaws.com/default/files/meetingarchive/planning_dept/sf-planning.org/index.aspx-page=3889.html
"August 7, 2014",Thursday,Regular,,"Wu, Fong, Antonini, Hillis, Johnson, Moore, Sugaya",Wu,"John Rahaim – Planning Director, Marcelle Boudreaux, Aaron Starr, Alexandra Kirby, Chris Townes, Timothy Johnston, Paolo Ikezoe, Corey Teague, Mary Woods, Sharon Lai, Omar Masry and Jonas P. Ionin – Commission Secretary",https://sfplanning.s3.amazonaws.com/default/files/meetingarchive/planning_dept/sf-planning.org/index.aspx-page=3921.html
"August 14, 2014",Thursday,Regular,,"Wu, Fong, Antonini, Hillis, Johnson, Moore, Sugaya",Hillis,"John Rahaim – Planning Director, Elizabeth Watty,",https://sfplanning.s3.amazonaws.com/default/files/meetingarchive/planning_dept/sf-planning.org/index.aspx-page=3922.html
"September 4, 2014",Thursday,Regular,,"Wu, Fong, Antonini, Hillis, Johnson, Moore, Richards",Fong,"John Rahaim – Planning Director,",https://sfplanning.s3.amazonaws.com/default/files/meetingarchive/planning_dept/sf-planning.org/index.aspx-page=3923.html
"September 11, 2014",Thursday,Regular,,"Wu, Fong, Antonini, Hillis, Johnson, Moore, Richards",Johnson,"John Rahaim – Planning Director, Kanishka Burns, Omar Masry, Laura Ajello, Rachel Schuett, Elizabeth Watty, Rich Sucre, Glenn Cabreros, Carly Grob, Marcelle Boudreaux, and Jonas P. Ionin – Commission Secretary",https://sfplanning.s3.amazonaws.com/default/files/meetingarchive/planning_dept/sf-planning.org/index.aspx-page=3933.html
"September 18, 2014",Thursday,Regular,,"Wu, Fong, Antonini, Hillis, Johnson, Moore, Richards",Fong,"John Rahaim – Planning Director, Omar Masry, Aaron Starr, Elizabeth Watty, Jeff Speirs, Diego Sanchez, Kanishka Burns, Kansai Uchida, Wade Wietgrefe, Brittany Bendix, Sara Vellve, Michael Smith, Eiliesh Tuffy, Glenn Cabreros, and Jonas P. Ionin – Commission Secretary",https://sfplanning.s3.amazonaws.com/default/files/meetingarchive/planning_dept/sf-planning.org/index.aspx-page=3934.html
"October 2, 2014",Thursday,Regular,,"Wu, Fong, Antonini, Hillis, Johnson, Moore, Richards",Wu,"John Rahaim – Planning Director, Tina Chang, Omar Masry, Michael Jacinto, Sharon Lai, Rich Sucre, Corey Teague, Steve",https://sfplanning.s3.amazonaws.com/default/files/meetingarchive/planning_dept/sf-planning.org/index.aspx-page=3940.html
"October 9, 2014",Thursday,Regular,,"Wu, Fong, Antonini, Hillis, Johnson, Moore, Richards",Hillis,"John Rahaim – Planning Director, Sara Vellve, Marcelle Boudreaux, Diego Sanchez, Erika Jackson, Kanishka Burns, Jon Swae, Jeffrey Speirs, Chris Townes, and Jonas P. Ionin – Commission Secretary",https://sfplanning.s3.amazonaws.com/default/files/meetingarchive/planning_dept/sf-planning.org/index.aspx-page=3948.html
"October 16, 2014",Thursday,Regular,,"Wu, Fong, Antonini, Hillis, Johnson, Richards",Moore,"John Rahaim – Planning Director, Omar Masry, Esmeralda Jardines, Menaka Mohan, Kevin Guy, Rich Sucre, Sara Vellve, Tina Chang, and Jonas P. Ionin – Commission Secretary",https://sfplanning.s3.amazonaws.com/default/files/meetingarchive/planning_dept/sf-planning.org/index.aspx-page=3950.html
"October 23, 2014",Thursday,Regular,,"Wu, Fong, Antonini, Hillis, Johnson, Richards",Moore,"John Rahaim – Planning Director,",https://sfplanning.s3.amazonaws.com/default/files/meetingarchive/planning_dept/sf-planning.org/index.aspx-page=3965.html
"November 6, 2014",Thursday,Regular,,"Wu, Fong, Antonini, Hillis, Johnson, Moore, Richards",,"John Rahaim – Planning Director,",https://sfplanning.s3.amazonaws.com/default/files/meetingarchive/planning_dept/sf-planning.org/index.aspx-page=3967.html
"November 13, 2014",Thursday,Regular,,"Wu, Fong, Antonini, Hillis, Johnson, Moore, Richards",,"John Rahaim – Planning Director, Marcelle Boudreaux, Andrew Perry, Sharon Lai, Diana Sokolove, Kanishka Burns, Pilar LaValley, Sara Vellve, Christine Lamorena , and Jonas P. Ionin – Commission Secretary",https://sfplanning.s3.amazonaws.com/default/files/meetingarchive/planning_dept/sf-planning.org/index.aspx-page=3969.html
"November 20, 2014",Thursday,Regular,,"Wu, Fong, Antonini, Hillis, Johnson, Moore, Richards","Johnson, Richards","John Rahaim – Planning Director, Andrew Perry, Esmeralda Jardines, Kate Conner, Kevin Guy, Michael Jacinto, Aaron Starr, Jon Swae, Menaka Mohan, Rich Sucre, Laura Ajello, Tina Chang , and Jonas P. Ionin – Commission Secretary",https://sfplanning.s3.amazonaws.com/default/files/meetingarchive/planning_dept/sf-planning.org/index.aspx-page=3970.html
"December 4, 2014",Thursday,Joint,,"Wu, Fong, Antonini, Johnson, Moore, Richards",Hillis,"John Rahaim – Planning Director,",https://sfplanning.s3.amazonaws.com/default/files/meetingarchive/planning_dept/sf-planning.org/index.aspx-page=3999.html
"December 4, 2014",Thursday,Regular,,"Wu, Fong, Antonini, Hillis, Johnson, Moore, Richards",Hillis,"John Rahaim – Planning Director, Carly Grob, Rachel Schuett, Debra Dwyer, Kearstin Dischinger, Diego Sanchez, Thomas Wang, Tina Chang,",https://sfplanning.s3.amazonaws.com/default/files/meetingarchive/planning_dept/sf-planning.org/index.aspx-page=4000.html
"December 11, 2014",Thursday,Regular,,"Wu, Fong, Antonini, Hillis, Johnson, Moore, Richards",Hillis,"John Rahaim – Planning Director, Omar Masry, Laura Ajello, Carly Grob, Rachel Schuett, Claudia Flores, Kearstin Dischinger, Paulo Ikezoe, Brittany Bendix, Erika Jackson, Sharon Young, Marcelle Boudreaux, Sara Vellve, Mary Woods, Eiliesh Tuffy, Tina Chang,",https://sfplanning.s3.amazonaws.com/default/files/meetingarchive/planning_dept/sf-planning.org/index.aspx-page=4080.html
"December 18, 2014",Thursday,Regular,,"Wu, Fong, Antonini, Hillis, Johnson, Moore, Richards",Johnson,"John Rahaim – Planning Director, Esmeralda Jardines, Sarah Jones - ERO, Nick Perry, David Winslow, Diego Sanchez, Kimia Haddadan, Rich Sucre, Sharon Lai, Mary Woods,",https://sfplanning.s3.amazonaws.com/default/files/meetingarchive/planning_dept/sf-planning.org/index.aspx-page=4081.html
"January 10, 2013",Thursday,Regular,,"Fong, Wu, Antonini, Hillis, Moore, Sugaya",Borden,"John Rahaim – Director of Planning, Scott Sanchez – Zoning Administrator, Aaron Starr, Richard Sucre, Michelle Stahlhut, Christina LaMorena, Rick Crawford, Thomas Wang, and Jonas P. Ionin – Acting Commission Secretary.",https://sfplanning.s3.amazonaws.com/default/files/meetingarchive/planning_dept/sf-planning.org/index.aspx-page=3382.html
"January 10, 2013",Thursday,Special,,,,,https://sfplanning.s3.amazonaws.com/default/files/meetingarchive/planning_dept/sf-planning.org/index.aspx-page=3383.html
"January 17, 2013",Thursday,Regular,,"Fong, Wu, Antonini, Borden, Hillis, Moore, Sugaya",,"John Rahaim – Director of Planning, Scott Sanchez – Zoning Administrator, Aaron Starr, Tom Disanto, Keith DeMartini, Kate McGee, Mary Brown, Ben Fu, Elizabeth Watty, and Jonas P. Ionin – Acting Commission Secretary.",https://sfplanning.s3.amazonaws.com/default/files/meetingarchive/planning_dept/sf-planning.org/index.aspx-page=3384.html
"January 31, 2013",Thursday,Regular,,"Fong, Wu, Antonini, Borden, Hillis, Moore, Sugaya",,"John Rahaim – Director of Planning, Scott Sanchez – Zoning Administrator, Richard Sucre, Daniel Sider, Tom DiSanto, Keith DeMartini, Debra Dwyer, Ben Fu, Elizabeth Watty, Aaron Hollister, and Jonas P. Ionin - Acting Commission Secretary.",https://sfplanning.s3.amazonaws.com/default/files/meetingarchive/planning_dept/sf-planning.org/index.aspx-page=3401.html
"January 24, 2013",Thursday,Regular,,"Wu, Antonini, Borden, Hillis, Moore, Sugaya",Fong,"John Rahaim – Director of Planning, Scott Sanchez – Zoning Administrator, Aaron Hollister, Sharon Young, Christina LaMorena, Tom Disanto, Keith Demartini, Debra Dwyer, Ben Fu, Elizabeth Watty, Thomas Wang, Glenn Cabreros and Jonas P. Ionin - Acting Commission Secretary.",https://sfplanning.s3.amazonaws.com/default/files/meetingarchive/planning_dept/sf-planning.org/index.aspx-page=3402.html
"February 7, 2013",Thursday,Regular,,"Fong, Wu, Antonini, Borden, Hillis, Moore, Sugaya",Fong,"John Rahaim – Director of Planning, Scott Sanchez – Zoning Administrator, Doug Vu, Michelle Stahlhut, Kevin Guy, Elizabeth Watty, Aaron Hollister, Christina Lamorena, Sharon Lai, Thomas Wang, and Jonas P. Ionin - Acting Commission Secretary.",https://sfplanning.s3.amazonaws.com/default/files/meetingarchive/planning_dept/sf-planning.org/index.aspx-page=3403.html
"February 14, 2013",Thursday,Regular,,"Fong, Wu, Antonini, Borden, Hillis, Moore, Sugaya",Wu,"John Rahaim – Planning Director, Scott Sanchez – Zoning Administrator, Corey Teague, Kevin Guy, Tara Sullivan, Thomas Disanto, Keith DeMartini, and Jonas P. Ionin - Acting Commission Secretary.",https://sfplanning.s3.amazonaws.com/default/files/meetingarchive/planning_dept/sf-planning.org/index.aspx-page=3415.html
"February 21, 2013",Thursday,Regular,,"Fong, Wu, Antonini, Borden, Hillis, Moore, Sugaya",Hillis,"John Rahaim – Planning Director, Scott Sanchez – Zoning Administrator, Thomas Wang, Michelle Stahlhut, Sophie Hayward, Anmarie Rodgers, Kevin Guy, and Jonas P. Ionin - Acting Commission Secretary.",https://sfplanning.s3.amazonaws.com/default/files/meetingarchive/planning_dept/sf-planning.org/index.aspx-page=3416.html
"March 7, 2013",Thursday,Regular,,"Fong, Wu, Antonini, Borden, Hillis, Moore, Sugaya",Fong,"John Rahaim – Planning Director, Scott Sanchez – Zoning Administrator, Elizabeth Watty, Richard Sucre, Aaron Starr, Sophie Hayward, Lisa Gibson, Michael Smith, Julian Banales, and Jonas P. Ionin - Acting Commission Secretary.",https://sfplanning.s3.amazonaws.com/default/files/meetingarchive/planning_dept/sf-planning.org/index.aspx-page=3431.html
"February 28, 2013",Thursday,Regular,,"Fong, Wu, Antonini, Borden, Hillis, Moore, Sugaya","Hillis, Sugaya","John Rahaim – Planning Director, Scott Sanchez – Zoning Administrator, Michelle Stahlhut, Brittany Bendix, Joy Navarrete, Sara Dennis-Philips, Joshua Switzky, Kimia Haddadan, Rick Crawford and Jonas P. Ionin - Acting Commission Secretary.",https://sfplanning.s3.amazonaws.com/default/files/meetingarchive/planning_dept/sf-planning.org/index.aspx-page=3432.html
"March 14, 2013",Thursday,Regular,,"Fong, Wu, Antonini, Borden, Hillis, Moore, Sugaya",Sugaya,"John Rahaim – Planning Director, Scott Sanchez – Zoning Administrator, Joanna Linsangan, Dan Sider, Aaron Starr, Sophie Hayward, Kimia Haddadan, Anmarie Rodgers, Thomas Wang, Kevin Guy, Elizabeth Watty, Michael Smith and Jonas P. Ionin - Acting Commission Secretary.",https://sfplanning.s3.amazonaws.com/default/files/meetingarchive/planning_dept/sf-planning.org/index.aspx-page=3436.html
"March 21, 2013",Thursday,Regular,,"Fong, Antonini, Borden, Hillis, Moore, Sugaya",Wu,"John Rahaim – Planning Director, Jessica Look, Kimia Haddadan, Sophie Hayward, Debra Dwyer, AnMarie Rodgers, Kate Conner, Erika Jackson, Rick Crawford, Mary Woods, Adrian Putra and Jonas P. Ionin - Acting Commission Secretary.",https://sfplanning.s3.amazonaws.com/default/files/meetingarchive/planning_dept/sf-planning.org/index.aspx-page=3437.html
"April 4, 2013",Thursday,Regular,,"Fong, Wu, Antonini, Borden, Hillis, Moore, Sugaya",,"John Rahaim – Planning Director, Scott Sanchez - Zoning Administrator, Adrian Putra, Doug Vu, Michael E. Smith, Sophie Hayward, Kimia Haddadan, Dan Sider, Rachel Schuett, Elizabeth Watty, Glenn Cabreros and Jonas P. Ionin - Acting Commission Secretary.",https://sfplanning.s3.amazonaws.com/default/files/meetingarchive/planning_dept/sf-planning.org/index.aspx-page=3454.html
"April 11, 2013",Thursday,Regular,,"Fong, Wu, Antonini, Borden, Hillis, Moore, Sugaya",,"John Rahaim – Planning Director, Dan Sider, Aaron Starr, Elizabeth Watty and Jonas P. Ionin - Acting Commission Secretary.",https://sfplanning.s3.amazonaws.com/default/files/meetingarchive/planning_dept/sf-planning.org/index.aspx-page=3457.html
"March 28, 2013",Thursday,Regular,,,,,https://sfplanning.s3.amazonaws.com/default/files/meetingarchive/planning_dept/sf-planning.org/index.aspx-page=3467.html
"April 18, 2013",Thursday,Regular,,"Fong, Wu, Antonini, Borden, Hillis, Moore, Sugaya","Borden, Sugaya","John Rahaim – Planning Director, Timothy Johnston, Steve Smith, Aaron Starr, Sharon Young, Rick Crawford, Delvin Washington and Jonas P. Ionin - Acting Commission Secretary.",https://sfplanning.s3.amazonaws.com/default/files/meetingarchive/planning_dept/sf-planning.org/index.aspx-page=3472.html
"April 25, 2013",Thursday,Regular,,"Fong, Wu, Antonini, Hillis, Moore","Borden, Sugaya","John Rahaim – Planning Director, Timothy Johnston, Omar Masry, Kimia Haddadan, Aaron Starr, Diego Sanchez, Anmarie Rodgers, Mary Woods, Michael E. Smith and Jonas P. Ionin - Acting Commission Secretary.",https://sfplanning.s3.amazonaws.com/default/files/meetingarchive/planning_dept/sf-planning.org/index.aspx-page=3473.html
"May 2, 2013",Thursday,Regular,,"Fong, Wu, Antonini, Hillis, Moore, Sugaya",Borden,"John Rahaim – Planning Director, Sophie Hayward, Kimia Haddadan, Kanishka Burns, Wade Wietgrefe and Jonas P. Ionin - Acting Commission Secretary.",https://sfplanning.s3.amazonaws.com/default/files/meetingarchive/planning_dept/sf-planning.org/index.aspx-page=3524.html
"May 9, 2013",Thursday,Regular,,"Fong, Wu, Antonini, Hillis, Moore, Sugaya",Borden,"John Rahaim – Planning Director, Omar Masry, Joy Navarrete, Sarah Dennis-Philips, Aaron Starr, Kimia Haddadan, Doug Vu, Sharon Young, Kate Conner, Brittany Bendix and Jonas P. Ionin - Acting Commission Secretary.",https://sfplanning.s3.amazonaws.com/default/files/meetingarchive/planning_dept/sf-planning.org/index.aspx-page=3525.html
"May 16, 2013",Thursday,Regular,,"Fong, Antonini, Borden, Hillis, Moore, Sugaya",Wu,"John Rahaim – Planning Director, Paul Maltzer, Kimia Haddadan, Doug Vu, Brittany Bendix, Rick Crawford, Delvin Washington, Diego Sanchez, Julian Banales and Jonas P. Ionin - Acting Commission Secretary.",https://sfplanning.s3.amazonaws.com/default/files/meetingarchive/planning_dept/sf-planning.org/index.aspx-page=3527.html
"May 23, 2013",Thursday,Regular,,,"Borden, Hillis",,https://sfplanning.s3.amazonaws.com/default/files/meetingarchive/planning_dept/sf-planning.org/index.aspx-page=3528.html
"May 23, 2013",Thursday,Special,,"Fong, Wu, Antonini, Borden, Hillis, Moore, Sugaya",Buell,"John Rahaim – Director of Planning, Kevin Guy, Jonas P. Ionin, Acting Commission Secretary",https://sfplanning.s3.amazonaws.com/default/files/meetingarchive/planning_dept/sf-planning.org/index.aspx-page=3529.html
"June 6, 2013",Thursday,Regular,,"Fong, Wu, Antonini, Borden, Hillis, Moore, Sugaya",None,"John Rahaim – Planning Director, AnMarie Rodgers, Rick Crawford, Delvin Washington, Omar Masry, Sophie Hayward, Michael Smith, Mary Woods, Tom Wang and Jonas P. Ionin - Acting Commission Secretary.",https://sfplanning.s3.amazonaws.com/default/files/meetingarchive/planning_dept/sf-planning.org/index.aspx-page=3530.html
"July 11, 2013",Thursday,Regular,,"Fong, Wu, Antonini, Borden, Moore, Sugaya",Hillis,"John Rahaim – Planning Director, Christine LaMorena, Elizabeth Watty, Brittany Bendix, Glen Cabreros, Casey Noel, Corey Teague, Kevin Guy, Sharon Lai, Sharon Young, and Jonas P. Ionin - Acting Commission Secretary.",https://sfplanning.s3.amazonaws.com/default/files/meetingarchive/planning_dept/sf-planning.org/index.aspx-page=3585.html
"June 13, 2013",Thursday,Regular,,"Fong, Wu, Antonini, Borden, Hillis, Moore, Sugaya",Fong,"John Rahaim – Planning Director, Omar Masry, Kanishka Burns, AnMarie Rodgers, Mat Snyder, Susan Exline, Aaron Starr, Corey Teague, Adrian Putra, and Jonas P. Ionin - Acting Commission Secretary.",https://sfplanning.s3.amazonaws.com/default/files/meetingarchive/planning_dept/sf-planning.org/index.aspx-page=3588.html
"June 20, 2013",Thursday,Regular,,"Fong, Wu, Antonini, Borden, Hillis, Moore, Sugaya",Fong,"John Rahaim – Planning Director, Omar Masry, Michael E. Smith, Joshua Switzky, Aaron Starr, Jessica Look, Doug Vu, Adrian Putra, Sharon Lai, Thomas Wang and Jonas P. Ionin - Acting Commission Secretary.",https://sfplanning.s3.amazonaws.com/default/files/meetingarchive/planning_dept/sf-planning.org/index.aspx-page=3589.html
"July 18, 2013",Thursday,Regular,,"Fong, Wu, Antonini, Borden, Moore, Sugaya",Hillis,"John Rahaim – Planning Director,",https://sfplanning.s3.amazonaws.com/default/files/meetingarchive/planning_dept/sf-planning.org/index.aspx-page=3590.html
"July 25, 2013",Thursday,Regular,,"Wu, Antonini, Borden, Moore, Sugaya","Fong, Hillis","John Rahaim – Planning Director,",https://sfplanning.s3.amazonaws.com/default/files/meetingarchive/planning_dept/sf-planning.org/index.aspx-page=3597.html
"August 1, 2013",Thursday,Regular,,"Fong, Wu, Antonini, Borden, Hillis, Moore, Sugaya",Hillis,"John Rahaim – Planning Director,",https://sfplanning.s3.amazonaws.com/default/files/meetingarchive/planning_dept/sf-planning.org/index.aspx-page=3598.html
"August 8, 2013",Thursday,Regular,,"Fong, Wu, Antonini, Borden, Hillis, Moore, Sugaya",Antonini,"John Rahaim – Planning Director,",https://sfplanning.s3.amazonaws.com/default/files/meetingarchive/planning_dept/sf-planning.org/index.aspx-page=3655.html
"August 15, 2013",Thursday,Regular,,"Fong, Wu, Antonini, Borden, Hillis, Moore, Sugaya","Borden, Hillis","John Rahaim – Planning Director, Kevin Guy, Diego Sanchez, Michael E. Smith, Debra Dwyer, Rich Sucre, Kanishka Burns, Erika Jackson, and Jonas P. Ionin - Acting Commission Secretary.",https://sfplanning.s3.amazonaws.com/default/files/meetingarchive/planning_dept/sf-planning.org/index.aspx-page=3656.html
"September 12, 2013",Thursday,Regular,,"Fong, Wu, Antonini, Borden, Hillis, Moore, Sugaya",,"John Rahaim – Planning Director, Kate Conner, Danielle Harris, Diego Sanchez, Sara Vellve, Sara Jones, Don Lewis, Casey Noel, Mary Woods, Glenn Cabreros, Elizabeth Watty, and Jonas P. Ionin - Acting Commission Secretary.",https://sfplanning.s3.amazonaws.com/default/files/meetingarchive/planning_dept/sf-planning.org/index.aspx-page=3658.html
"September 19, 2013",Thursday,Regular,,"Fong, Wu, Antonini, Borden, Hillis, Moore, Sugaya",Sugaya,"John Rahaim – Planning Director, Steve Wertheim, Sophie Hayward, Sara Vellve, Sharon Young, Glenn Cabreros, Mary Woods, Omar Masry, Doug Vu, and Jonas P. Ionin - Acting Commission Secretary.",https://sfplanning.s3.amazonaws.com/default/files/meetingarchive/planning_dept/sf-planning.org/index.aspx-page=3659.html
"September 19, 2013",Thursday,Joint,,"Fong, Wu, Antonini, Borden, Hillis, Moore, Sugaya",Sanchez,"John Rahaim – Planning Director, Claudia Flores, and Jonas P. Ionin - Acting Commission Secretary.",https://sfplanning.s3.amazonaws.com/default/files/meetingarchive/planning_dept/sf-planning.org/index.aspx-page=3660.html
"September 26, 2013",Thursday,Regular,,"Fong, Wu, Antonini, Borden, Hillis, Moore, Sugaya",Hillis,"John Rahaim – Planning Director, Omar Masry, Casey Noel, Lily Yegazu, Christine LaMorena, Corey Teague, Erika Jackson, Edgar Oropeza, Kate Conner, Sharon Young, Sara Vellve, Adrian Putra, and Jonas P. Ionin - Acting Commission Secretary.",https://sfplanning.s3.amazonaws.com/default/files/meetingarchive/planning_dept/sf-planning.org/index.aspx-page=3661.html
